,activity,value,Amazing,Good,Normal,Bad,Awful
0,songs,True,0.49645390070921985,0.2688679245283019,0.3197278911564626,0.2222222222222222,0.22448979591836735
1,songs,False,0.5035460992907801,0.7311320754716981,0.6802721088435374,0.7777777777777778,0.7755102040816326
2,meditation,True,0.7801418439716312,0.6226415094339622,0.5102040816326531,0.3333333333333333,0.32653061224489793
3,meditation,False,0.2198581560283688,0.37735849056603776,0.4897959183673469,0.6666666666666666,0.673469387755102
4,kaballah,True,0.0070921985815602835,0.014150943396226415,0.006802721088435374,0.0,0.0
5,kaballah,False,0.9929078014184397,0.9858490566037735,0.9931972789115646,1.0,1.0
6,video editing,True,-1.0,-1.0,-1.0,-1.0,-1.0
7,video editing,False,1.0,0.9976415094339622,0.9863945578231292,1.0,1.0
8,jobs,True,0.028368794326241134,0.0330188679245283,0.027210884353741496,0.027777777777777776,0.02040816326530612
9,jobs,False,0.9716312056737588,0.9669811320754716,0.9727891156462585,0.9722222222222222,0.9795918367346939
10,shower,True,0.6170212765957447,0.4669811320754717,0.48299319727891155,0.3611111111111111,0.3877551020408163
11,shower,False,0.3829787234042553,0.5330188679245284,0.5170068027210885,0.6388888888888888,0.6122448979591837
12,yoga,True,0.014184397163120567,0.014150943396226415,0.013605442176870748,0.0,0.0
13,yoga,False,0.9858156028368794,0.9858490566037735,0.9863945578231292,1.0,1.0
14,new things,True,0.2907801418439716,0.3490566037735849,0.25170068027210885,0.2222222222222222,0.20408163265306123
15,new things,False,0.7092198581560284,0.6509433962264151,0.7482993197278912,0.7777777777777778,0.7959183673469388
16,good meal,True,0.8368794326241135,0.6179245283018868,0.6802721088435374,0.5833333333333334,0.46938775510204084
17,good meal,False,0.16312056737588654,0.38207547169811323,0.3197278911564626,0.4166666666666667,0.5306122448979592
18,cleaning,True,0.18439716312056736,0.22169811320754718,0.272108843537415,0.1111111111111111,0.12244897959183673
19,cleaning,False,0.8156028368794326,0.7783018867924528,0.7278911564625851,0.8888888888888888,0.8775510204081632
20,reddit,True,0.8156028368794326,0.5471698113207547,0.6190476190476191,0.5555555555555556,0.46938775510204084
21,reddit,False,0.18439716312056736,0.4528301886792453,0.38095238095238093,0.4444444444444444,0.5306122448979592
22,prayer,True,0.6170212765957447,0.419811320754717,0.4897959183673469,0.4166666666666667,0.3673469387755102
23,prayer,False,0.3829787234042553,0.5801886792452831,0.5102040816326531,0.5833333333333334,0.6326530612244898
24,Watching series,True,0.7588652482269503,0.589622641509434,0.5714285714285714,0.5555555555555556,0.40816326530612246
25,Watching series,False,0.24113475177304963,0.41037735849056606,0.42857142857142855,0.4444444444444444,0.5918367346938775
26,podcast,True,0.20567375886524822,0.2641509433962264,0.24489795918367346,0.25,0.22448979591836735
27,podcast,False,0.7943262411347518,0.7358490566037735,0.7551020408163265,0.75,0.7755102040816326
28,reading,True,0.2978723404255319,0.33490566037735847,0.24489795918367346,0.2222222222222222,0.20408163265306123
29,reading,False,0.7021276595744681,0.6650943396226415,0.7551020408163265,0.7777777777777778,0.7959183673469388
30,Recording,True,0.06382978723404255,0.06839622641509434,0.06802721088435375,0.1111111111111111,0.061224489795918366
31,Recording,False,0.9361702127659575,0.9316037735849056,0.9319727891156463,0.8888888888888888,0.9387755102040817
32,learning,True,0.3191489361702128,0.37028301886792453,0.46258503401360546,0.5,0.42857142857142855
33,learning,False,0.6808510638297872,0.6297169811320755,0.5374149659863946,0.5,0.5714285714285714
34,movies,True,0.09219858156028368,0.10849056603773585,0.08163265306122448,0.027777777777777776,0.061224489795918366
35,movies,False,0.9078014184397163,0.8915094339622641,0.9183673469387755,0.9722222222222222,0.9387755102040817
36,News Update,True,0.7872340425531915,0.5400943396226415,0.5918367346938775,0.5555555555555556,0.3877551020408163
37,News Update,False,0.2127659574468085,0.45990566037735847,0.40816326530612246,0.4444444444444444,0.6122448979591837
38,penpal,True,0.5035460992907801,0.45047169811320753,0.41496598639455784,0.2777777777777778,0.20408163265306123
39,penpal,False,0.49645390070921985,0.5495283018867925,0.5850340136054422,0.7222222222222222,0.7959183673469388
40,gaming,True,0.3262411347517731,0.36792452830188677,0.3197278911564626,0.3611111111111111,0.5102040816326531
41,gaming,False,0.6737588652482269,0.6320754716981132,0.6802721088435374,0.6388888888888888,0.4897959183673469
42,travel,True,0.07092198581560284,0.05188679245283019,0.05442176870748299,0.1388888888888889,0.08163265306122448
43,travel,False,0.9290780141843972,0.9481132075471698,0.9455782312925171,0.8611111111111112,0.9183673469387755
44,repair,True,0.03546099290780142,0.0589622641509434,0.034013605442176874,0.0,0.0
45,repair,False,0.9645390070921985,0.9410377358490566,0.9659863945578231,1.0,1.0
46,designing,True,0.1276595744680851,0.16037735849056603,0.12244897959183673,0.16666666666666666,0.08163265306122448
47,designing,False,0.8723404255319149,0.839622641509434,0.8775510204081632,0.8333333333333334,0.9183673469387755
48,family,True,0.09219858156028368,0.04245283018867924,0.08843537414965986,0.2222222222222222,0.14285714285714285
49,family,False,0.9078014184397163,0.9575471698113207,0.9115646258503401,0.7777777777777778,0.8571428571428571
50,shave,True,0.028368794326241134,0.018867924528301886,0.06802721088435375,0.027777777777777776,0.02040816326530612
51,shave,False,0.9716312056737588,0.9811320754716981,0.9319727891156463,0.9722222222222222,0.9795918367346939
52,research,True,0.2624113475177305,0.31839622641509435,0.3469387755102041,0.3888888888888889,0.30612244897959184
53,research,False,0.7375886524822695,0.6816037735849056,0.6530612244897959,0.6111111111111112,0.6938775510204082
54,coding/cooking/tutorial,True,0.2553191489361702,0.330188679245283,0.29931972789115646,0.2777777777777778,0.2857142857142857
55,coding/cooking/tutorial,False,0.7446808510638298,0.6698113207547169,0.7006802721088435,0.7222222222222222,0.7142857142857143
56,hospital,True,-1.0,-1.0,-1.0,-1.0,-1.0
57,hospital,False,1.0,0.9976415094339622,0.9931972789115646,0.9444444444444444,1.0
58,love,True,0.10638297872340426,0.16745283018867924,0.14285714285714285,0.1388888888888889,0.14285714285714285
59,love,False,0.8936170212765957,0.8325471698113207,0.8571428571428571,0.8611111111111112,0.8571428571428571
60,Audio books,True,0.7375886524822695,0.6155660377358491,0.5714285714285714,0.5,0.4897959183673469
61,Audio books,False,0.2624113475177305,0.38443396226415094,0.42857142857142855,0.5,0.5102040816326531
62,holotropic,True,0.03546099290780142,0.009433962264150943,0.02040816326530612,0.0,0.0
63,holotropic,False,0.9645390070921985,0.9905660377358491,0.9795918367346939,1.0,1.0
64,friends,True,0.02127659574468085,0.014150943396226415,0.0,0.0,0.02040816326530612
65,friends,False,0.9787234042553191,0.9858490566037735,1.0,1.0,0.9795918367346939
66,power nap,True,0.5390070921985816,0.42924528301886794,0.4897959183673469,0.3888888888888889,0.30612244897959184
67,power nap,False,0.46099290780141844,0.5707547169811321,0.5102040816326531,0.6111111111111112,0.6938775510204082
68,party,True,0.0,0.009433962264150943,0.006802721088435374,0.0,0.0
69,party,False,1.0,0.9905660377358491,0.9931972789115646,1.0,1.0
70,write diary,True,0.07801418439716312,0.10141509433962265,0.08843537414965986,0.08333333333333333,0.061224489795918366
71,write diary,False,0.9219858156028369,0.8985849056603774,0.9115646258503401,0.9166666666666666,0.9387755102040817
72,shopping,True,0.0070921985815602835,0.009433962264150943,0.006802721088435374,0.0,0.02040816326530612
73,shopping,False,0.9929078014184397,0.9905660377358491,0.9931972789115646,1.0,0.9795918367346939
74,phd,True,0.028368794326241134,0.0047169811320754715,0.0,0.0,0.02040816326530612
75,phd,False,0.9716312056737588,0.9952830188679245,1.0,1.0,0.9795918367346939
76,writing,True,0.3333333333333333,0.3632075471698113,0.3741496598639456,0.3333333333333333,0.3469387755102041
77,writing,False,0.6666666666666666,0.6367924528301887,0.6258503401360545,0.6666666666666666,0.6530612244897959
78,Art,True,0.2553191489361702,0.1650943396226415,0.272108843537415,0.3055555555555556,0.1836734693877551
79,Art,False,0.7446808510638298,0.8349056603773585,0.7278911564625851,0.6944444444444444,0.8163265306122449
80,Poetry,True,0.028368794326241134,0.02122641509433962,0.04081632653061224,0.0,0.0
81,Poetry,False,0.9716312056737588,0.9787735849056604,0.9591836734693877,1.0,1.0
82,Exercise,True,0.0425531914893617,0.02830188679245283,0.006802721088435374,0.05555555555555555,0.04081632653061224
83,Exercise,False,0.9574468085106383,0.9716981132075472,0.9931972789115646,0.9444444444444444,0.9591836734693877
84,Documentary,True,0.2198581560283688,0.2641509433962264,0.2925170068027211,0.3055555555555556,0.2653061224489796
85,Documentary,False,0.7801418439716312,0.7358490566037735,0.7074829931972789,0.6944444444444444,0.7346938775510204
86,fasting,True,0.7021276595744681,0.5330188679245284,0.4557823129251701,0.4444444444444444,0.4489795918367347
87,fasting,False,0.2978723404255319,0.4669811320754717,0.54421768707483,0.5555555555555556,0.5510204081632653
88,diet,True,0.2907801418439716,0.20518867924528303,0.1360544217687075,0.027777777777777776,0.08163265306122448
89,diet,False,0.7092198581560284,0.7948113207547169,0.8639455782312925,0.9722222222222222,0.9183673469387755
90,walk,True,0.7801418439716312,0.5377358490566038,0.564625850340136,0.5555555555555556,0.40816326530612246
91,walk,False,0.2198581560283688,0.46226415094339623,0.43537414965986393,0.4444444444444444,0.5918367346938775
92,Email,True,0.1276595744680851,0.13443396226415094,0.11564625850340136,0.1111111111111111,0.12244897959183673
93,Email,False,0.8723404255319149,0.8655660377358491,0.8843537414965986,0.8888888888888888,0.8775510204081632
